"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2026","23,909.55","23,914.65","23,925.55","23,835.55","4.55B","0.16%"
"31-12-2025","23,871.55","23,710.45","23,921.45","23,709.55","5.27B","0.86%"
"30-12-2025","23,668.80","23,675.30","23,704.20","23,599.90","3.36B","-0.06%"
"29-12-2025","23,682.10","23,804.40","23,826.75","23,660.30","2.42B","-0.41%"
"26-12-2025","23,780.25","23,841.95","23,885.35","23,752.55","2.23B","-0.29%"
"24-12-2025","23,850.25","23,903.10","23,956.80","23,836.55","1.97B","-0.19%"
"23-12-2025","23,895.15","23,906.10","23,929.25","23,825.15","2.60B","0.12%"
"22-12-2025","23,867.65","23,760.95","23,878.65","23,743.25","2.52B","0.80%"
"19-12-2025","23,677.55","23,562.65","23,688.35","23,548.95","3.17B","0.79%"
"18-12-2025","23,491.50","23,469.80","23,553.25","23,363.50","2.34B","-0.02%"
"17-12-2025","23,496.05","23,597.60","23,635.05","23,449.50","2.06B","-0.31%"
"16-12-2025","23,570.15","23,676.80","23,687.35","23,542.55","2.09B","-0.65%"
"15-12-2025","23,725.20","23,654.00","23,735.70","23,591.30","2.43B","0.00%"
"12-12-2025","23,726.20","23,620.35","23,737.70","23,613.00","2.60B","0.74%"
"11-12-2025","23,550.85","23,421.90","23,562.15","23,344.25","2.44B","0.61%"
"10-12-2025","23,408.80","23,540.15","23,628.30","23,386.80","1.99B","-0.46%"
"09-12-2025","23,516.25","23,447.05","23,556.35","23,259.70","2.62B","-0.04%"
"08-12-2025","23,526.20","23,821.75","23,833.15","23,460.70","2.45B","-1.30%"
"05-12-2025","23,835.25","23,720.70","23,848.45","23,672.35","2.31B","0.40%"
"04-12-2025","23,741.10","23,718.10","23,820.45","23,680.25","2.64B","0.10%"
"03-12-2025","23,716.30","23,813.45","23,845.80","23,641.75","2.80B","-0.44%"
"02-12-2025","23,822.25","23,870.60","23,925.85","23,782.75","2.80B","-0.42%"
"01-12-2025","23,922.45","24,034.95","24,035.00","23,871.75","2.12B","-0.04%"
"28-11-2025","23,933.20","23,968.80","23,979.70","23,907.75","1.92B","-0.06%"
"27-11-2025","23,947.75","24,011.90","24,026.25","23,879.60","2.00B","-0.03%"
"26-11-2025","23,955.20","23,654.75","23,965.35","23,654.75","1.90B","1.27%"
"25-11-2025","23,655.05","23,700.55","23,745.50","23,635.80","2.05B","-0.08%"
